不思議の国のアリス																																																												
																																																												
	スペクターの影響により、闇落ちしたアリスが物語の中の世界を支配している																																																											
	一部のキャラもスペクターの影響で敵として登場し、スペクターを倒すことで元にもどしていく。																																																											
																																																												
	ステージ1									川辺のある野原																																																		
	シーン									登場キャラ																							セリフ																											
																																																												
	ゲーム開始前									アリスの姉																							あなたは誰？																											
										（現実でアリスを見守ってるうちに自分も寝てしまい、こちらの世界へ）																							そうですか、ここは本の世界なんですね。																											
																																	アリスが寝たまま起きなくて心配してたの。																											
																																	変な魔物もいるから探そうにも怖くて...																											
																																																												
																																	【主人公が代わりに探すと応じる】																											
																																																												
																																	ありがとうございます！私はここでアリスが戻ってくるのを待ちますので、																											
																																	どうかよろしくお願いします。																											
																																																												
																																																												
	ステージ2									奇妙な空間の部屋																																																		
	シーン									登場キャラ																							セリフ																											
																																																												
	ゲーム開始前									ハートの女王																							まったく！あの変な生き物はなんだい！																											
										（城から逃げてきた）																							クローケーゲームは台無しにされるわ、城を追い出されるわ、訳がわからないよ！																											
																																	あんた、あの変な生き物を何とかできるのかい？																											
																																	なら早く退治してきておくれよ、このままずっとクローケーゲームができないのはごめんだわ！																											
																																																												
										トランプ兵数人																							私達からもお願いします、同胞たちもあの変な生き物のせいでおかしくなってしまったようです。																											
										（城から逃げてきた）																							どうか彼らを元に戻してあげてください。																											
																																																												
																																																												
	ボス戦前									ドアノブ（ボス）																							ダレ…ダ？																											
										スペクターの影響で凶暴化、ドアを開けてスペクターを放っている																							ココはダレ…モ…とおさない…																											
																																																												
	ボス戦後									ドアノブ																							ん～？だーれだあんたは？																											
																																	ここ最近の事が思い出せないけど何かあったのかい？																											
																																																												
																																	【主人公が事情を話す】																											
																																																												
																																	なるほど、知らない間に迷惑をたくさんかけてしまったみたいだなー																											
																																	お詫びとは言えないかもしれないけど、ここを通してあげるよ																											
																																	そこの薬を飲んでごらん、体が小さくなれるはずだよ																											
																																	元に戻る時はそこのお菓子を食べるんだよ、いいね？																											
																																																												
																																																												
	ステージ3									白ウサギの家の外																																																		
	シーン									登場キャラ																							セリフ																											
																																																												
	ゲーム開始前									煙突掃除のトカゲ																							大変だー！あそこの家から怪物がたくさんでてきてるんだよ！																											
